epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2375.74,1.39837,1.61015,1.11152,0.62935,0.33333,0.28237,0.14618,1.99926,4.60105,1.13468,0.000528272,0.000528272,0.000528272
71,2413.17,1.84185,1.89128,1.47025,0.63132,0.33333,0.28182,0.16855,1.99899,4.85454,1.18476,0.000511769,0.000511769,0.000511769
72,2448.43,1.34101,1.44372,0.96315,0.94527,0.33333,0.33705,0.18442,1.95637,5.09007,1.21209,0.000495266,0.000495266,0.000495266
73,2484.98,1.75206,2.69552,1.12681,0.93811,0.33333,0.339,0.18575,1.94254,5.25425,1.24237,0.000478762,0.000478762,0.000478762
74,2521,1.96054,2.11772,1.5535,0.99244,0.33333,0.34361,0.2233,2.01427,5.41521,1.28797,0.000462259,0.000462259,0.000462259
75,2554.45,1.71,1.55345,1.07805,0.66526,0.33333,0.34157,0.21351,2.00806,5.2573,1.29364,0.000445756,0.000445756,0.000445756
76,2589.39,1.58646,1.83982,1.37963,0.76095,0.33333,0.33939,0.22035,1.90337,5.12864,1.27633,0.000429253,0.000429253,0.000429253
77,2626.66,1.47745,1.48095,1.18137,0.7895,0.33333,0.33705,0.23519,1.71357,4.915,1.21258,0.000412749,0.000412749,0.000412749
78,2665.62,1.85099,2.72607,1.35331,0.82606,0.33333,0.33671,0.2183,1.56001,4.83395,1.1458,0.000396246,0.000396246,0.000396246
79,2704.89,1.51178,1.42351,1.18262,0.84808,0.33333,0.33675,0.21833,1.57057,4.89613,1.1365,0.000379743,0.000379743,0.000379743
80,2746.5,1.80484,2.15031,1.20174,0.88317,0.33333,0.33771,0.21907,1.63301,5.00919,1.13715,0.000363239,0.000363239,0.000363239
81,2792.71,1.66631,1.84943,1.37447,0.90173,0.33333,0.34044,0.22115,1.60985,5.09849,1.13652,0.000346736,0.000346736,0.000346736
82,2828.95,1.20171,1.52008,0.94591,0.9211,0.33333,0.34022,0.21551,1.60527,5.09342,1.12157,0.000330233,0.000330233,0.000330233
83,2871.8,1.46273,1.78954,1.09961,0.94585,0.33333,0.34396,0.18557,1.55856,4.89322,1.08717,0.000313729,0.000313729,0.000313729
84,2909.97,1.56981,1.62492,1.05693,0.95107,0.33333,0.34752,0.18792,1.56319,4.83701,1.07251,0.000297226,0.000297226,0.000297226
85,2950.13,1.28498,1.88734,1.0978,0.95274,0.33333,0.34911,0.1569,1.55604,4.85404,1.06855,0.000280723,0.000280723,0.000280723
86,2988.04,1.2964,1.30856,1.00492,0.95319,0.33333,0.35043,0.15991,1.55922,4.88504,1.07297,0.00026422,0.00026422,0.00026422
87,3027.82,1.1322,1.67943,0.96132,0.95374,0.33333,0.35201,0.1609,1.57754,5.00452,1.08992,0.000247716,0.000247716,0.000247716
88,3063.08,1.42522,1.4214,1.1142,0.95312,0.33333,0.35343,0.14023,1.59478,5.05487,1.10143,0.000231213,0.000231213,0.000231213
89,3097.95,1.32327,1.711,1.0032,0.95136,0.33333,0.3551,0.14122,1.614,5.1728,1.11716,0.00021471,0.00021471,0.00021471
90,3135.95,1.27645,1.71769,1.15771,0.94977,0.33333,0.3551,0.13583,1.63779,5.18752,1.12656,0.000198206,0.000198206,0.000198206
91,3176.13,1.01548,1.50331,0.95332,0.93996,0.33333,0.35343,0.10489,1.71918,5.24511,1.14189,0.000181703,0.000181703,0.000181703
92,3214.56,0.87349,0.83366,0.61091,0.93588,0.33333,0.35201,0.1042,1.74467,5.27174,1.15693,0.0001652,0.0001652,0.0001652
93,3247.73,0.88105,1.30366,0.77299,0.93259,0.33333,0.35008,0.10325,1.76585,5.25296,1.16579,0.000148696,0.000148696,0.000148696
94,3283,0.9974,1.14172,0.96635,0.929,0.33333,0.34752,0.1105,1.74163,5.12466,1.14763,0.000132193,0.000132193,0.000132193
95,3321.94,1.01371,1.28849,0.84693,0.92255,0.33333,0.3452,0.10937,1.76543,5.13662,1.15188,0.00011569,0.00011569,0.00011569
96,3358.42,0.83573,1.11532,0.80533,0.92255,0.33333,0.34421,0.1301,1.75264,5.17392,1.1485,9.91865e-05,9.91865e-05,9.91865e-05
97,3395.47,1.291,1.37176,1.11581,0.91996,0.33333,0.34373,0.12984,1.73966,5.16227,1.14592,8.26832e-05,8.26832e-05,8.26832e-05
98,3432.79,0.95982,1.02876,0.96249,0.91561,0.33333,0.34309,0.12951,1.73889,5.22612,1.14974,6.61799e-05,6.61799e-05,6.61799e-05
99,3466.32,1.10672,1.06709,0.80111,0.91789,0.33333,0.34254,0.12922,1.73262,5.31118,1.13815,4.96766e-05,4.96766e-05,4.96766e-05
100,3503.83,1.27951,1.55466,0.95489,0.91975,0.33333,0.34191,0.13345,1.74652,5.37133,1.14467,3.31733e-05,3.31733e-05,3.31733e-05
